text,label,source
na who dey alive dey buy fabric wey dem go use sew cloth my yard people see better fabric abeg try and swipe left and watch videos too we dey sell better n send us a dm for payment details,positive,v3_mixed
$ dollars the only time i go enter motor na if i dey comot abuja be that oh from lokogoma to wuse suppose be like mins with leg,negative,v3_mixed
"Na true say, the teacher customer care no answer although I fit use am every day.",negative,v3_mixed
d lyn wey u tok just make me de feel wan kind dizzy,negative,v3_mixed
ha bros fear god small now see as you finish dembele pesin wey see you go think say you no dey talk but the words of your mouth are nothing but a timed bomb waiting to explode,negative,v3_mixed
abeg who don fine don fine‍️‍️‍️‍️ alayabiagba street ajegunle apapa lagos,positive,v3_mixed
"I think, the data bundle no work at all although I hope e improve soon.",negative,v3_mixed
thanks but na adult dey play for there abi na children,neutral,v3_mixed
"Chai, the restaurant make life easy so dem promise fix am tomorrow.",positive,v3_mixed
she don set hot water down gee lets go even sef,negative,v3_mixed
"Delivery come sharp sharp today, I like am",positive,v3_mixed
e get as e do you do you do you na the way e dey do me,positive,v3_mixed
e no go better for red soil,negative,v3_mixed
"Abeg, the pizza need verification.",neutral,v3_mixed
"Omo, the bank app be under maintenance but my family notice am too.",neutral,v3_mixed
"This morning, the agency price change small so e better pass before.",neutral,v3_mixed
lol i wish say na fifa make i fit control them but that one na real life hammer bros,negative,v3_mixed
"Yesterday, the pizza disappoint me so e better pass before.",negative,v3_mixed
"No lie, the cart need verification but e better pass before.",neutral,v3_mixed
like this i don dey rehearse how i go take vex if dem talk say gas finish for house e go be baba,negative,v3_mixed
u dey inside police van with handcuffs come dey wave at me when that one start,negative,v3_mixed
"Na true say, the light I register yesterday but I still dey wait.",neutral,v3_mixed
"My guy, the call I go recommend am.",positive,v3_mixed
I am testing the network in different locations.,neutral,targeted_negation_v7
"Honestly, the platform work well well but people for office smile.",positive,v3_mixed
e sweet you say dem go disconnect me e go soon shock you,positive,v3_mixed
me i no dey like dey folllw una argue for twitter make we drop location meet do wetin we won do not here twitter jackie chan,negative,v3_mixed
i dey enerhen junction nothing dey happen,positive,v3_mixed
when i said lagos people was broke and noisy una wan slap me through whatsapp wetin concern rich person and okada humble yaself and trek,positive,v3_mixed
somebody should please help me tell phcn people that rain has stopped since wire sef don dry abeg i need to use the microwave please,negative,v3_mixed
and you dey put mouth for where i dey baa,negative,v3_mixed
"Omo, the transfer disappoint me so I hope e improve soon.",negative,v3_mixed
"For real, the POS save my time although I fit use am every day.",positive,v3_mixed
lmao i swear e be like person wey dey argue with google,positive,v3_mixed
"Na true say, the NIN service need verification but my family notice am too.",neutral,v3_mixed
"Omo, the electricity I register yesterday and my family notice am too.",neutral,v3_mixed
"Na true say, the platform close early today because I no get problem again.",neutral,v3_mixed
ndidi na rugedy babai like him always a nuisance to the opposition i wish kelechi can get a goal in this game e don try,positive,v3_mixed
"Sha, the website price change small although I fit use am every day.",neutral,v3_mixed
ee be like say tunisia inner gingah don finally wake up dis final quarter fam pts back to back thanks to imen jedidi mistiri wen sink in a surprise dem second for the game revival,positive,v3_mixed
na why you dey support arsenal nothing wey you sabi,negative,v3_mixed
I use the service today,neutral,v3_mixed
see pikin dem dey flex you dey here,positive,v3_mixed
na so one bros run go e papa house yesterday afternoon for my area dey shout upandan say area poison e smoke,negative,v3_mixed
I dey enjoy this service since I start using am.,positive,negation_contrastive_v6
money wey white dey take time to don,neutral,v3_mixed
big waist fine face i don dey wait for you my chargie can i can i can i slide in pls na in advance,positive,v3_mixed
"For real, the Bolt customer care no answer so I still dey wait.",negative,v3_mixed
"Na true say, the order surpass my expectation.",positive,v3_mixed
the way dem go drag this guy this season ehn sometimes it is players wey dem don too rate like this that makes that messi not playing in the epl argument kinda valid loool,negative,v3_mixed
oya won lenu ni sir if rangers catch them for that playoffs dem go chop cane again na nairobi straight,positive,v3_mixed
fat boys like us we dey find wife but dem no dey rush us dem no dey rush us,negative,v3_mixed
please make e dey fall there because if e try fall for my site i don lose money,negative,v3_mixed
"Abeg, the shawarma deserve five stars and I fit use am every day.",positive,v3_mixed
hell yeah im a straight up amazing person mixture of craze intelligence and the love of christ why wouldnt i love me plus i never see person wey dey ever ready to improve on themselves like me ️,negative,v3_mixed
my bro true o na who loose guard dem dey run street,positive,v3_mixed
come make i call you boss na dey nack,positive,v3_mixed
I no like the delay before my appointment.,negative,negation_contrastive_v6
but you don chop the slap alrdy na,negative,v3_mixed
my chief i dey telllll you mehhnnnn dem don do me strong thing cus of good heart,negative,v3_mixed
bros me sef won be like u ooo but all d ones wey dey shoot shot to me no get sense,negative,v3_mixed
"I think, the call be under maintenance because nothing special happen.",neutral,v3_mixed
"This app dey work like every other app, nothing special",neutral,negation_handcrafted
"Sha, the POS sharp no be small but my family notice am too.",positive,v3_mixed
oluwa wetin de happen this is not the vision weve always dreamed of,negative,v3_mixed
malik woman na like voice note we just dey hear am but we no fit see am,neutral,v3_mixed
aswear con dey turn tierney to otu him no care whether person dey or not one two move booom cross,negative,v3_mixed
"Chai, the appointment I go recommend am.",positive,v3_mixed
"Today, the appointment no work at all so e better pass before.",negative,v3_mixed
bro we lucky say we no dey ghana again dem for don tear our shirt for bru common room cc,negative,v3_mixed
i hate coming to ilorin esp this tanke area you must go broke before leaving how much person get sef wey i they spend like i don make am,negative,v3_mixed
guys make una calm down na e never do you no be only me do this oh allow my phone rest abeg ‍️,negative,v3_mixed
"Sha, the wallet frustrate me.",negative,v3_mixed
football twitter don show ️ the english premier league dey return tomorrow on on super sports on dstv guys which games you dey look forward to ️,positive,v3_mixed
"The service no impress me yet, but I have only just started using it.",neutral,targeted_negation_v7
no be we talk ooo thank you trailblazerdung for the review trailblazerdung una sabi gather people wey get brains and wits to,positive,v3_mixed
me yayi zafi ina ruwanka kuma e no concern u e no concern u abeg stop bn a cule pls,negative,v3_mixed
mehn yeah im a lion hard guy hard guy but lion sef dey cry this is not fair this candle procession and the stories that followed really got teary where did we get it wrong,negative,v3_mixed
leav dem make dem just open mouth cos they sabi talk,negative,v3_mixed
i don try my best on it tho e no dey show,negative,v3_mixed
i sabi say e pain you na i know say you no like scholes till date,negative,v3_mixed
the slap i will give u aswear e go get standard wey belle go comot incase u get see the stupid slap theyre giving her idiot gang,negative,v3_mixed
"For real, the Bolt I go recommend am and e better pass before.",positive,v3_mixed
e come be like say trophuse dey vex for us,negative,v3_mixed
hmmmm he don tey wey u don dey rob back abi congratulations man,positive,v3_mixed
My subscription just disappear without warning,negative,v3_mixed
"I think, the SIM close early today and I still dey wait.",neutral,v3_mixed
"Today, the bill need verification because I no get problem again.",neutral,v3_mixed
to press my legs yeah but na cuddle i want,positive,v3_mixed
this guy in particular came over and refused to leave was just talking here and there made everyone uncomfortable i say na help i b wan help na so i enta one chance ‍️,negative,v3_mixed
"Chai, the mobile banking make me lose money.",negative,v3_mixed
"For real, the airtime need verification because e better pass before.",neutral,v3_mixed
mdcn fwacp nma no go see this one na to shamelessly increase primaries to k they sabi yeye dey smell for sabo,negative,v3_mixed
The driver reach on time and e behave well.,positive,curated_contrastive_v5
"Abeg, the clinic customer care no answer because I fit use am every day.",negative,v3_mixed
medicine girls like dem no be dem go chase youna you go chase dem ooo,negative,v3_mixed
i soo want to recreate this vidand very soon sef,positive,v3_mixed
regrann from tundeednut ladies and gentlemen we cannot get enough of this hottest slang na dem dey rush us and we no get choice but to rush una too to order your finely made t,positive,v3_mixed
late night work with that moment when momsy dey call,positive,v3_mixed
the party don set who dey bring the girls dem enough shayo and peppered goat meat,positive,v3_mixed
"My guy, the lecture deserve five stars because e better pass before.",positive,v3_mixed
"Yesterday, the exam work well well but I hope e improve soon.",positive,v3_mixed
otis you be big man chopper dey for you na,positive,v3_mixed
"Abeg, the food I go recommend am so everything smooth.",positive,v3_mixed
kanipe i have used the energy wey i put for love learn mechanic ni i for don sabi repair train,negative,v3_mixed
"Chai, the call too slow and people for office smile.",negative,v3_mixed
"This morning, the trip dey sweet me although dem promise fix am tomorrow.",positive,v3_mixed
na so just dey top up jameson this very deyi just dey back with and dey observe unclemark for the culture jameson ambassador,positive,v3_mixed
"See ehn, the 4G na correct one so nothing special happen.",positive,v3_mixed
ẹ be like dem don break this guy heart he just dey rant for whatsapp status,negative,v3_mixed
i have just been scammeddem sell okpa for me dem tell me say na moimoi i come reach house dey chop i think say na my tongue get fault,negative,v3_mixed
to comot house don dey look like hard work,negative,v3_mixed
doctor wey won deliver person wife don go finger the woman burst one of the baby eyes oo‍️na we dey settle with the husband since oo,negative,v3_mixed
rashford dey play like person wey god don answer his prayer,positive,v3_mixed
omo my gender don dey reason how deh go clap their grandmother mate ontop this ps matters,negative,v3_mixed
ezigbo mmadu na oraifite nwanne di na mba of benin city na me give you this one bro lol,positive,v3_mixed
"Abeg, the agency keep crashing.",negative,v3_mixed
you people should let people enjoy their relationship in peace na everyone deserve an amazing love life which one is now waje and ric hassani youre shouting upandan na only you sabi do the do and enjoy bobi wine abi‍️,negative,v3_mixed
me sars just dey carry people anyhow we need to dey careful my friend luda u nor suppose fear na u nor fresh dem nor go carry u me,negative,v3_mixed
loool be like sey dem don dey put magun on top shaft ooo,negative,v3_mixed
e say regain sense we dem don lose am ni,negative,v3_mixed
"Honestly, the website na correct one although I still dey wait.",positive,v3_mixed
abeg make dem no insort me na play,positive,v3_mixed
if only dem listened to an elder wey dey take utaba ‍️,negative,v3_mixed
how that one take concern me na una need my help so if una no ready then just go wait till you time to turn zombie ‍️ reach,negative,v3_mixed
"For real, the tax office dey vex me but nothing special happen.",negative,v3_mixed
I enjoy the government service because the website works well.,positive,negation_contrastive_v6
ha bori e dey rain here o and some of us dey alone,positive,v3_mixed
chews loudly because i cant stand snoring its one of my greatest fear in marriage marry wife finish she con dey snore omo na to return the wife,negative,v3_mixed
"Omo, the pizza sharp no be small.",positive,v3_mixed
ok na i tweet u on dat day,neutral,v3_mixed
"Yesterday, the pharmacy dey sweet me although my family notice am too.",positive,v3_mixed
e get beb like this for this app me to na her picture i wan use but i forgot her handle like say na seff na she aswear,neutral,v3_mixed
"Omo, the exam frustrate me but dem promise fix am tomorrow.",negative,v3_mixed
"Today, the clinic open by 8am although people for office smile.",neutral,v3_mixed
"Chai, the agency sharp no be small.",positive,v3_mixed
"Yesterday, the website customer care no answer so I hope e improve soon.",negative,v3_mixed
no single happy independence for all the status for my contact list wahala be like nigeria wey him people nor wan celebrate again,negative,v3_mixed
my brother i just weak like dodo wey dem dey times,positive,v3_mixed
thank you for all de laugher u re releasing for us all especially dose slaps dat always drop my fone on de floor god bless u dearie,negative,v3_mixed
"Yesterday, the network I go recommend am although my family notice am too.",positive,v3_mixed
"Today, the ATM waste my time although e better pass before.",negative,v3_mixed
na the one i fit relate to i go dey under na una make dey intelligent and enlightened dey abroad twitter,positive,v3_mixed
so parrot dey kiss woman na him some useless people dey do gay tofiakwa,negative,v3_mixed
"Abeg, the tax office deserve five stars.",positive,v3_mixed
u min say leicester don score dat mins my ticket don dey enter small small,positive,v3_mixed
The service is available and I am observing it.,neutral,targeted_negation_v7
"Na true say, the electricity save my time and people for office smile.",positive,v3_mixed
this gen wey we dey take charge for mosque don stop to dey work tragic our only hope in this hood,negative,v3_mixed
the igbinedions working against thier foster son that will be absurdbruv na gather beat dem want give ogadem go beat sotay dem go use fowl feather dey put water for he earsedo elites feat dem oooo,negative,v3_mixed
"Nothing much to say, e just dey normal so far",neutral,v3_mixed
the kind one of a kind wey some of una be dey one kind,negative,v3_mixed
wetin make you dey shat e nor consign you‍️‍️,negative,v3_mixed
"Sha, the pizza keep crashing and I fit use am every day.",negative,v3_mixed
"For real, the wallet customer care no answer so e better pass before.",negative,v3_mixed
"Chai, the mobile banking customer care no answer and dem promise fix am tomorrow.",negative,v3_mixed
haba the gbedu don dey enter,positive,v3_mixed
people have donated money to buy nomination form for the president wen im still looking for those that trekked from lagos to abuja to congratulate him in na wa ooo,negative,v3_mixed
"Yesterday, the hospital open by 8am although e better pass before.",neutral,v3_mixed
nigerian bike men and the way they force convos my ear don block dis man is actually telling me the story of his life i don nod head like times bayi,positive,v3_mixed
as i dey vex for e be like make i vex unfollow am self because of the anger of not doing my panic shopping yet and the lockdown in abuja is tomorrow,negative,v3_mixed
please stop late night meals your belle don dey big oo,negative,v3_mixed
"Yesterday, the trip close early today so I hope e improve soon.",neutral,v3_mixed
this song still gives me chills i swearrr especially if you are now in love again is a fucking talent for daysssssss na wetin go make man dey crazeeeee,positive,v3_mixed
"The price is fair, and I like the quality.",positive,targeted_negation_v7
"Honestly, the passport office na correct one and everything smooth.",positive,v3_mixed
Refund never enter my account.,negative,curated_contrastive_v5
"Today, the school portal customer care help me quick.",positive,v3_mixed
warri una don ready its that time of the year again in warri warri arts festival unveiling on oct th at official press conference una dooh oh get involved warri nigeria,positive,v3_mixed
"Honestly, the appointment customer care no answer because my family notice am too.",negative,v3_mixed
"Chai, the website waste my time because I no get problem again.",negative,v3_mixed
just reread this and it sounds weird please im saying im learning work where kemi dey abeg,negative,v3_mixed
me wey i been dey think say i be fine boyi foh for this one this guy cute abeg if to say i be gay na him for dey burst my nyansh,positive,v3_mixed
i dey vex say them scam my guy you dey tell me say your name na jenifer happy birthday quennyjoe more life cc thysquarenation ft and quennyjoe delascollections,neutral,v3_mixed
na only my small flashlight nokia phone i dey carry wake these days i no even get strength for any police wahala what a country,negative,v3_mixed
i don screen grab this ur reply give one osas omo d baby dey worry,negative,v3_mixed
"Honestly, the payment customer care no answer because e better pass before.",negative,v3_mixed
you dey ask for the pc boy me i be ph boyhelp me sef na my account dey standby,positive,v3_mixed
"Even if e delay, nothing serious dey happen sha",neutral,negation_handcrafted
na wetin suppose happen dey happen,positive,v3_mixed
"Chai, the food save my time so nothing special happen.",positive,v3_mixed
tacha na you dey reign oh na you dey reign oh effortlessly you dey reign geographically you dey reign na you dey reign oh you nor dey carry last you be authe authe authentic queen,positive,v3_mixed
"Yesterday, the electricity customer care help me quick so people for office smile.",positive,v3_mixed
abeg somebody dey ask me how much be sky for area,neutral,v3_mixed
The app is terrible and hard to use.,negative,curated_contrastive_v5
dangote is a learner na when even small diezani dey steal money wey pass the worth of dangote,negative,v3_mixed
breakup wey make person go dey watch hausa film,negative,v3_mixed
aswear e no funny again by this time i dey my house dey sweat,negative,v3_mixed
I enjoyed using the app.,positive,targeted_negation_v7
"Abeg, the seller open by 8am so I fit use am every day.",neutral,v3_mixed
abeg you fit give me your baba number me sef wan do ritual o,negative,v3_mixed
lmao this na just noodles na but which kain egusi you cook wey dog no go fit chop,positive,v3_mixed
i too carry erigga matter for head i don use erigga replace pastors too much luv for person wen nor know of i dey exist or not,positive,v3_mixed
"The staff were polite, and they solved my problem.",positive,targeted_negation_v7
e be like say this covid go catch you again walachia ringimaa man na im you be why your wahala plenty like this nau,negative,v3_mixed
so all of us wey don buy abaya like this wetin go happen on wednesday now omo this isnt the best time mr president,negative,v3_mixed
na this kind pose cause the matter wey dey settle for my house now,negative,v3_mixed
"See ehn, the bus open by 8am.",neutral,v3_mixed
which kain boss how i go see k chop today like this shey space still dey for your site,neutral,v3_mixed
abeg everybody should dey their dey my brokenness dont even have name ryt now i wee drop account number anywer drop able,negative,v3_mixed
"I think, the appointment dey sweet me.",positive,v3_mixed
lol you wan steal am who be the omoaye wey dey your dp,neutral,v3_mixed
dear wife e don do come to me im tired of searching,negative,v3_mixed
wetin be my own na im just giving ope moral support ni let her make her case for fine boys in peace joo,positive,v3_mixed
im fucking pissed yal think so much of that lady e don enter her head can never be my fav,negative,v3_mixed
u de help me find wife,positive,v3_mixed
"I think, the doctor no work at all so dem promise fix am tomorrow.",negative,v3_mixed
just u call may rd just my colleague don go now na na hrs get me now i get back home looking like a zombie,negative,v3_mixed
make i dey go meeting i go dey follow the game for here,positive,v3_mixed
"See ehn, the water I go recommend am but my family notice am too.",positive,v3_mixed
I don't think the app works well.,negative,targeted_negation_v7
"Sha, the soup open by 8am.",neutral,v3_mixed
so because i dey use prepaid meter i dey use torch dey move around even when light dey poverty bad even in lebanon,negative,v3_mixed
anybody wen talk say that and proposal no sweet na jealousy dey catch am,positive,v3_mixed
see ehn fear those young men in suits always looking dapper fresh as heaven and whatnot dem dey move billions but its we $ itunes card una go dey cast,negative,v3_mixed
"Yesterday, the electricity too slow so dem promise fix am tomorrow.",negative,v3_mixed
nina youre vexing me miracle vex na if you want to vex vex with the straightest demonic face ever lmfao,negative,v3_mixed
bro na god dey help us for this country because na weekly prices dey increase you arent even sure of buying an item this week with the same amount you bought it last week,negative,v3_mixed
you nor say na mouth una getwe nor shout,negative,v3_mixed
"Na true say, the electricity deserve five stars and nothing special happen.",positive,v3_mixed
how far na wetin dey maximize,positive,v3_mixed
"Na true say, the order I register yesterday although I hope e improve soon.",neutral,v3_mixed
you de like person wey de stuffer from ebola sorry you be like wetin ebola de suffer from,negative,v3_mixed
chelsea fans dey hope make madrid lose barca fans dey support bayern lmaoo see how man utd fans dey suppo,positive,v3_mixed
mk i dey look you go na aisha dey hold my hand,neutral,v3_mixed
"This morning, the ATM frustrate me but I hope e improve soon.",negative,v3_mixed
who has a high end phone to sell for cheap na,neutral,v3_mixed
"Abeg, the bank app sharp no be small.",positive,v3_mixed
i was when i knew nigeria was not suppose to be a country e don tey bros,negative,v3_mixed
"Na true say, the service de available now but everything smooth.",neutral,v3_mixed
ion do again abeg betja dey stress me fpl dey stress me owu dey blow me buhari na my president oh please,negative,v3_mixed
i don see this one na hin face for that nd frame i wan see,positive,v3_mixed
"Abeg, the pharmacy I register yesterday and my family notice am too.",neutral,v3_mixed
Customer care answered my call.,neutral,curated_contrastive_v5
oh men the kind rickety wey dey move for this ph na die,negative,v3_mixed
wetin dey vex the guy,neutral,v3_mixed
see wetin lockdown don cause now ‍️ normally most of those guys no dey do anything for there life before now so dey just take advantage of this lockdown and isolation period to invade people and do there evil work,negative,v3_mixed
fine ankaras like these na people wey get good taste dey rush dem oya select and pay so i go know say you get good fashion sense too beautiful fabrics for beautiful people,positive,v3_mixed
the one wey dey do you sha,neutral,v3_mixed
"See ehn, the service open by 8am although I still dey wait.",neutral,v3_mixed
"Yesterday, the airtime frustrate me so my family notice am too.",negative,v3_mixed
"This morning, the platform dey sweet me so I hope e improve soon.",positive,v3_mixed
you wey dey command dg abeg rest,negative,v3_mixed
"Na true say, the tax office de available now.",neutral,v3_mixed
ha na who that one want die ontop hin head e go just faint danu danu because of tosin sef rain go fall ontop rd mainland and the breeze go send am go inside water,negative,v3_mixed
"Meanwhile, the clinic make life easy.",positive,v3_mixed
"Meanwhile, the agency waste my time but nothing special happen.",negative,v3_mixed
independence day wholesale promo buy a bundleyards of this beautiful fabric at nk final and friendly price awoof wey no dey run belle click on the whatsapp link or slide,positive,v3_mixed
na person wey get money go put money for account na happy sunday jàre time for online service,positive,v3_mixed
"Sha, the app save my time but my family notice am too.",positive,v3_mixed
"For real, the hospital make me lose money.",negative,v3_mixed
"Meanwhile, the taxi close early today but I still dey wait.",neutral,v3_mixed
"Honestly, the taxi work well well because I hope e improve soon.",positive,v3_mixed
early morning you don dey vex ehn,positive,v3_mixed
how na arent you beautiful,positive,v3_mixed
be like the men wey dey like this tweet no understand wetin i mean abeg nau,negative,v3_mixed
amal please e don do with this cooking p abeg not everyday,negative,v3_mixed
omo this love don dey enter my body again i think say e no dey last ni i was wrong,positive,v3_mixed
The payment was processed this morning.,neutral,curated_contrastive_v5
omo i just dey observe say na boys dey my whatsapp and e be like say na boys dey the boys whatsapp sef bunch of horny bastards all of us,negative,v3_mixed
im lucky if i manage to draw thrice a week sef im getting there sha baby steps,neutral,v3_mixed
"This morning, the electricity customer care help me quick but nothing special happen.",positive,v3_mixed
i don talk before dem wan kee me,negative,v3_mixed
"For real, the exam na correct one.",positive,v3_mixed
"Today, the taxi I register yesterday so I still dey wait.",neutral,v3_mixed
"Yesterday, the wallet customer care no answer although dem promise fix am tomorrow.",negative,v3_mixed
k a week me sef wan dey clean ohh,positive,v3_mixed
make una come buy wetin we dey sell oh kindly help rt also for our customers on your tl,negative,v3_mixed
The network no dey give me what I need.,negative,targeted_negation_v7
i just no wan curse people doing this face and account thing why you dey give pesin hbp like this,negative,v3_mixed
"See ehn, the trip need verification so I fit use am every day.",neutral,v3_mixed
haan na everything be red flag sha wahala for who dey relationship,negative,v3_mixed
yes i made it timesi hope by now you guys mouth will have swelled up it made my day i dey for you by ft for you i dey dey dey,positive,v3_mixed
e better like that make you no dey resemble pregnant woman,positive,v3_mixed
mum was talking to someone about my business and she was hyping it so much that even me sef i come dey wonder whether na this same business i dey do so happy mothers day,negative,v3_mixed
new followers so calabr people dey here like this oh mad stuffs make una begin plan next hangout oh e go lit believe,neutral,v3_mixed
e hard guy,negative,v3_mixed
"Na true say, the teacher dey vex me.",negative,v3_mixed
lmfaoooooooooo you self see pizza you dey buy what were you expecting please,negative,v3_mixed
here u go again hypocrisy personified before u start guessing na me corper wen dey everywhere like mtn,negative,v3_mixed
"I think, the bill na pure wahala because nothing special happen.",negative,v3_mixed
nope rosicky na reus idol if we fit buy am e go like wear rosicky jersey,positive,v3_mixed
good afternoon tweeps worz happening i just dey come ino i hope una no dey quarrel,positive,v3_mixed
"I think, the trip make me lose money because I still dey wait.",negative,v3_mixed
"I no fit login for the past two days, wetin dey happen",negative,v3_mixed
im this life ehn kana naka allah na nashi im so stuck i dont know again sef ill just flow like a river lobatan,negative,v3_mixed
i dont wanna fall no more im still standing my ground but all the bumps around me on top my case dem carry antenna dey tie gele dey tie bandanna cheque and fireboy made music on history on repeat,positive,v3_mixed
months if na belle i go dey prepare to born am,negative,v3_mixed
"Na true say, the doctor open by 8am and I hope e improve soon.",neutral,v3_mixed
dem don go arrest people wey dey settle matter say dem no wear face mask dey station now,negative,v3_mixed
I like how the registration process works.,positive,negation_contrastive_v6
wetin concern bird and toothbrushyou nor go eat belle full first you dey talk vehicles and abroad,negative,v3_mixed
"No lie, the clinic customer care no answer although nothing special happen.",negative,v3_mixed
i don dey use to am i dey even expect am steady now,positive,v3_mixed
don jazzy this is not fair oo lock down sef don hit ogun state bayi aiye ti paree ooo,negative,v3_mixed
them no understandso because say na k i dey earni no go fit find love or start a relationship,negative,v3_mixed
"Na true say, the platform save my time because people for office smile.",positive,v3_mixed
"Today, the ride deserve five stars.",positive,v3_mixed
please help me call that angel in charge of relationshipslove affairs e be like say dem comot my name for list,negative,v3_mixed
after a funeral service americans what a great loss nigerians abeg pass me salt make i add for dis rice dem no cook am well,negative,v3_mixed
meet one our amazing volunteers of ascf my name is chizoba chidiobi im yrs old im a pharmacist an entrepreneur and a mother of im also a certified genetic counselor and a volunteer for ascf i,positive,v3_mixed
my brother o dem don use am play me before na your turn relax,positive,v3_mixed
if they wan hack na video tutorial you go see,negative,v3_mixed
